series,episode,baker_name,technical,result,signature_bake,show_stopper,baker_age,hometown,baker_occupation
1,4,David Chambers,5,OUT,Pear and Walnut Pudding,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",31,Milton Keynes,Entrepreneur
1,4,Annetha Mills,NA,NA,NA,NA,30,Essex,Midwife
1,4,Jonathan Shepherd,NA,NA,NA,NA,25,St Albans,Research Analyst
1,4,Lea Harris,NA,NA,NA,NA,51,"Midlothian, Scotland",Retired
1,4,Louise Brimelow,NA,NA,NA,NA,44,Manchester,Police Officer
1,4,Mark Whithers,NA,NA,NA,NA,48,South Wales,Bus Driver
1,5,Miranda Browne,1,IN,"Summery Salmon, Cod and Prawn Fish Pie","Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganche  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés",37,"Midhurst, West Sussex",Food buyer for Marks & Spencer
1,5,Edd Kimber,2,IN,"Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés",24,Bradford,Debt collector for Yorkshire Bank
1,5,Ruth Clemens,3,IN,Minced Beef Pie,"Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés",31,"Poynton, Cheshire",Retail manager/Housewife
1,5,Jasminder Randhawa,4,OUT,Chicken and Mushroom Pie,"Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés",45,Birmingham,Assistant Credit Control Manager
1,5,Annetha Mills,NA,NA,NA,NA,30,Essex,Midwife
1,5,David Chambers,NA,NA,NA,NA,31,Milton Keynes,Entrepreneur
1,5,Jonathan Shepherd,NA,NA,NA,NA,25,St Albans,Research Analyst
1,5,Lea Harris,NA,NA,NA,NA,51,"Midlothian, Scotland",Retired
1,5,Louise Brimelow,NA,NA,NA,NA,44,Manchester,Police Officer
1,5,Mark Whithers,NA,NA,NA,NA,48,South Wales,Bus Driver
1,6,Miranda Browne,NA,Runner-up,Lemon Cupcake,Eliminated after signature,37,"Midhurst, West Sussex",Food buyer for Marks & Spencer
1,6,Ruth Clemens,NA,Runner-up,"Mint, Ginger and Blackberry Cake",NA,31,"Poynton, Cheshire",Retail manager/Housewife
1,6,Edd Kimber,NA,WINNER,Cinnamon and Banana Cake,NA,24,Bradford,Debt collector for Yorkshire Bank
1,6,Annetha Mills,NA,NA,NA,NA,30,Essex,Midwife
1,6,David Chambers,NA,NA,NA,NA,31,Milton Keynes,Entrepreneur
1,6,Jasminder Randhawa,NA,NA,NA,NA,45,Birmingham,Assistant Credit Control Manager
1,6,Jonathan Shepherd,NA,NA,NA,NA,25,St Albans,Research Analyst
1,6,Lea Harris,NA,NA,NA,NA,51,"Midlothian, Scotland",Retired
1,6,Louise Brimelow,NA,NA,NA,NA,44,Manchester,Police Officer
1,6,Mark Whithers,NA,NA,NA,NA,48,South Wales,Bus Driver
2,1,Holly Bell,1,STAR BAKER,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,UNKNOWN,31,Leicester,Advertising executive
2,1,Ben Frazer,2,IN,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,Vanilla Sponge with White Chocolate and Raspberry Buttercream,31,Northampton,Graphic Designer
2,1,Robert Billington,3,IN,Blackberry and Vanilla Cupcakeswith Liquorice Frosting,Genoise Layered Mousse Cakewith Chocolate Ganache,25,London,Photographer
2,1,Mary-Anne Boermans,4,IN,Banoffee Cupcakes,Chocolate and Raspberry Opera cake,45,"Kidderminster, Worcestershire",Housewife
2,1,Yasmin Limbert,5,IN,Cardamom and Pomegranate Cupcakes,UNKNOWN,43,"West Kirby, The Wirral",Childminder
2,1,Jason White,6,IN,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,UNKNOWN,19,Croydon,Civil Engineering Student
2,1,Urvashi Roe,7,IN,Cherry Blossom CupcakesJapanese Lime Cupcakes,UNKNOWN,40,"Enfield, London",Head of Marketing
2,1,Janet Basu,8,IN,Raspberry and Cream Cupcakes,Chocolate Marble Cakewith Dark and White Chocolate Truffles,63,"Formby, Liverpool",Teacher of Modern Languages
2,1,Simon Blackwell,9,IN,Guinness and Chocolate Cupcakes,Two-Tiered Chocolate Courgette Cake,31,Norfolk,Rugby Coach
2,1,Ian Vallance,10,IN,Apple and Cinnamon Cupcakes,UNKNOWN,40,"Dunstable, Bedfordshire",Fundraiser for English Heritage
2,1,NA,11,IN,NA,NA,NA,NA,NA
2,1,Keith Batsford,12,OUT,Earl Grey Cupcakes,Chocolate and Sour Cream Cake,31,"Arlesey, Bedfordshire",House husband
2,2,Ben Frazer,1,IN,"Chorizo, Pepper and Gruyere Quiche",Lemon Meringue Tarts,31,Northampton,Graphic Designer
2,2,Ian Vallance,2,IN,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",UNKNOWN,40,"Dunstable, Bedfordshire",Fundraiser for English Heritage
2,2,Jason White,3,STAR BAKER,Salmon and Pak Choi Quiche,Mint Chocolate Tarts Blueberry Bakewell Tarts,19,Croydon,Civil Engineering Student
2,2,Holly Bell,4,IN,Pesto Quiche,Milk Chocolate and Pistachio TartsTrifle Tarts,31,Leicester,Advertising executive
2,2,Robert Billington,5,IN,Smoked Bacon and Kale Quiche,"Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart",25,London,Photographer
2,2,Yasmin Limbert,6,IN,Smoked Haddock and Watercress Quiche,Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts,43,"West Kirby, The Wirral",Childminder
2,2,Urvashi Roe,7,IN,"Crab, Coriander and Coconut Quiche",Strawberry and Basil TartsElderflower and Honeycomb Tarts,40,"Enfield, London",Head of Marketing
2,2,Janet Basu,8,IN,Quiche Printanière,Red Fruit TartsChocolate and Cherry Tarts,63,"Formby, Liverpool",Teacher of Modern Languages
2,2,Mary-Anne Boermans,9,IN,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche",Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts,45,"Kidderminster, Worcestershire",Housewife
2,2,NA,10,IN,NA,NA,NA,NA,NA
2,2,Simon Blackwell,11,OUT,Smoked Haddock and Watercress Quiche,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts",31,Norfolk,Rugby Coach
2,2,Keith Batsford,NA,NA,NA,NA,31,"Arlesey, Bedfordshire",House husband
2,3,NA,1,IN,NA,NA,NA,NA,NA
2,3,Yasmin Limbert,2,STAR BAKER,Egyptian Dukkah Loaf with Mixed Spices,"Pesto Bread
Sweet Coconut Rolls",43,"West Kirby, The Wirral",Childminder
2,3,Ben Frazer,3,IN,"Walnut, Raisin and Rosemary Loaf",UNKNOWN,31,Northampton,Graphic Designer
2,3,Robert Billington,4,IN,Rye and Coriander Seed Loaf,Blueberry Brioche RollsLemon and Poppy Seed Rolls,25,London,Photographer
2,3,Mary-Anne Boermans,5,IN,Ploughman's Loaf,Herb and Walnut BreadsChocolate and Chilli Buns,45,"Kidderminster, Worcestershire",Housewife
2,3,Holly Bell,6,IN,Picnic Loaf,Stilton and Walnut Rolls,31,Leicester,Advertising executive
2,3,Jason White,7,IN,Cheese and Onion Tear and Share Loaf,UNKNOWN,19,Croydon,Civil Engineering Student
2,3,Janet Basu,8,IN,Zupfe Loaf with Gruyère Cheese,Apple and Walnut Granary Rolls Red Onion Cottage Rolls,63,"Formby, Liverpool",Teacher of Modern Languages
2,3,Urvashi Roe,9,OUT,Salt and Peppercorn Loaf,Chilli and Halloumi RollsLemon and Coriander Mini Loaves,40,"Enfield, London",Head of Marketing
2,3,Ian Vallance,10,OUT,"Courgette, Caerphilly Cheese and Thyme Loaf",Walnut and Raisin RollsCracked Wheat Logs,40,"Dunstable, Bedfordshire",Fundraiser for English Heritage
2,3,Keith Batsford,NA,NA,NA,NA,31,"Arlesey, Bedfordshire",House husband
2,3,Simon Blackwell,NA,NA,NA,NA,31,Norfolk,Rugby Coach
2,4,Jason White,1,STAR BAKER,Lebkuchen,"Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)",19,Croydon,Civil Engineering Student
2,4,Mary-Anne Boermans,2,IN,Melting Moments,Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons,45,"Kidderminster, Worcestershire",Housewife
2,4,Holly Bell,3,STAR BAKER,Strawberry and Custard Melts,"'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)",31,Leicester,Advertising executive
2,4,Janet Basu,4,IN,Christmas Marzipan Biscuits,"Raspberry Macarons
Blackcurrant Macarons
Almond Macarons",63,"Formby, Liverpool",Teacher of Modern Languages
2,4,Ben Frazer,5,OUT,Stem Ginger Nuts,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons,31,Northampton,Graphic Designer
2,4,Yasmin Limbert,6,IN,Chocolate Chip and Pistachio Biscotti,Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons,43,"West Kirby, The Wirral",Childminder
2,4,Robert Billington,7,IN,Chocolate and Ginger Oat Biscuits,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons,25,London,Photographer
2,4,NA,8,IN,NA,NA,NA,NA,NA
2,4,Ian Vallance,NA,NA,NA,NA,40,"Dunstable, Bedfordshire",Fundraiser for English Heritage
2,4,Keith Batsford,NA,NA,NA,NA,31,"Arlesey, Bedfordshire",House husband
2,4,Simon Blackwell,NA,NA,NA,NA,31,Norfolk,Rugby Coach
2,4,Urvashi Roe,NA,NA,NA,NA,40,"Enfield, London",Head of Marketing
2,5,Janet Basu,1,STAR BAKER,Chicken and Chestnut Pie,Rhubarb Meringue Pie,63,"Formby, Liverpool",Teacher of Modern Languages
2,5,Mary-Anne Boermans,2,IN,Chicken and Bacon Pie,Midnight Meringue,45,"Kidderminster, Worcestershire",Housewife
2,5,Robert Billington,3,OUT,Chicken and Mushroom Pie,Rhubarb and Custard Meringue Pie,25,London,Photographer
2,5,Holly Bell,4,IN,"Stilton, Potato and Caramelised Onion Pie",Lime Meringue Pie,31,Leicester,Advertising executive
2,5,Yasmin Limbert,5,IN,Family Fish Pie,Peach and Raspberry Meringue Pie,43,"West Kirby, The Wirral",Childminder
2,5,NA,6,IN,NA,NA,NA,NA,NA
2,5,Jason White,7,OUT,Brown Down Chicken Pie,Plum Meringue Pie,19,Croydon,Civil Engineering Student
2,5,Ben Frazer,NA,NA,NA,NA,31,Northampton,Graphic Designer
2,5,Ian Vallance,NA,NA,NA,NA,40,"Dunstable, Bedfordshire",Fundraiser for English Heritage
2,5,Keith Batsford,NA,NA,NA,NA,31,"Arlesey, Bedfordshire",House husband
2,5,Simon Blackwell,NA,NA,NA,NA,31,Norfolk,Rugby Coach
2,5,Urvashi Roe,NA,NA,NA,NA,40,"Enfield, London",Head of Marketing
2,6,NA,1,STAR BAKER,NA,NA,NA,NA,NA
2,6,Yasmin Limbert,2,OUT,Baked Amaretto Cheesecake,Rose Croquembouche,43,"West Kirby, The Wirral",Childminder
2,6,Holly Bell,3,IN,Father Christmas' Baked Cheesecake,Hansel and Gretel's Croquembouche,31,Leicester,Advertising executive
2,6,Mary-Anne Boermans,4,IN,Tutti Fruitti Curd Baked Cheesecake,Orange and Praline Croquembouche with Cardamom Caramel,45,"Kidderminster, Worcestershire",Housewife
2,6,Janet Basu,5,IN,Rhubarb and Ginger Baked Cheesecake,Orange and Nougatine Croquembouche,63,"Formby, Liverpool",Teacher of Modern Languages
2,6,Ben Frazer,NA,NA,NA,NA,31,Northampton,Graphic Designer
2,6,Ian Vallance,NA,NA,NA,NA,40,"Dunstable, Bedfordshire",Fundraiser for English Heritage
2,6,Jason White,NA,NA,NA,NA,19,Croydon,Civil Engineering Student
2,6,Keith Batsford,NA,NA,NA,NA,31,"Arlesey, Bedfordshire",House husband
2,6,Robert Billington,NA,NA,NA,NA,25,London,Photographer
2,6,Simon Blackwell,NA,NA,NA,NA,31,Norfolk,Rugby Coach
2,6,Urvashi Roe,NA,NA,NA,NA,40,"Enfield, London",Head of Marketing
2,7,Holly Bell,1,IN,"White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake","Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits",31,Leicester,Advertising executive
2,7,Mary-Anne Boermans,2,IN,Chocolate and Orange Mousse Cake,Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes,45,"Kidderminster, Worcestershire",Housewife
2,7,NA,3,IN,NA,NA,NA,NA,NA
2,7,Janet Basu,4,OUT,Chocolate Amaretto Mousse Cake,Pain Aux RaisinPlain CroissantPain Au Chocolat,63,"Formby, Liverpool",Teacher of Modern Languages
2,7,Ben Frazer,NA,NA,NA,NA,31,Northampton,Graphic Designer
2,7,Ian Vallance,NA,NA,NA,NA,40,"Dunstable, Bedfordshire",Fundraiser for English Heritage
2,7,Jason White,NA,NA,NA,NA,19,Croydon,Civil Engineering Student
2,7,Keith Batsford,NA,NA,NA,NA,31,"Arlesey, Bedfordshire",House husband
2,7,Robert Billington,NA,NA,NA,NA,25,London,Photographer
2,7,Simon Blackwell,NA,NA,NA,NA,31,Norfolk,Rugby Coach
2,7,Urvashi Roe,NA,NA,NA,NA,40,"Enfield, London",Head of Marketing
2,7,Yasmin Limbert,NA,NA,NA,NA,43,"West Kirby, The Wirral",Childminder
2,8,NA,1,WINNER,NA,NA,NA,NA,NA
2,8,Holly Bell,2,Runner-up,Banoffee Inspired Mille Feuille,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich,31,Leicester,Advertising executive
2,8,Mary-Anne Boermans,3,Runner-up,Lemon and Ginger Mille Feuille,Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub,45,"Kidderminster, Worcestershire",Housewife
2,8,Ben Frazer,NA,NA,NA,NA,31,Northampton,Graphic Designer
2,8,Ian Vallance,NA,NA,NA,NA,40,"Dunstable, Bedfordshire",Fundraiser for English Heritage
2,8,Janet Basu,NA,NA,NA,NA,63,"Formby, Liverpool",Teacher of Modern Languages
2,8,Jason White,NA,NA,NA,NA,19,Croydon,Civil Engineering Student
2,8,Keith Batsford,NA,NA,NA,NA,31,"Arlesey, Bedfordshire",House husband
2,8,Robert Billington,NA,NA,NA,NA,25,London,Photographer
2,8,Simon Blackwell,NA,NA,NA,NA,31,Norfolk,Rugby Coach
2,8,Urvashi Roe,NA,NA,NA,NA,40,"Enfield, London",Head of Marketing
2,8,Yasmin Limbert,NA,NA,NA,NA,43,"West Kirby, The Wirral",Childminder
3,1,Sarah-Jane Willis,1,IN,"Pear, Chocolate and Hazelnut",Hidden Crown Cake,28,"Bewbush, West Sussex",Vicar's wife
3,1,James Morton,2,IN,"Parsnip, Pear, and Pecan","""Simmer Dim"" Sunset Cake",21,"Hillswick, Shetland Islands",Medical student
3,1,Peter Maloney,3,IN,"Pear, Muscat & Chocolate",Jubilee Cake,43,"Windsor, Berkshire",Sales manager
3,1,Victoria Chester,4,STAR BAKER,Pear and Pecan,Blackbird Pie Cake,50,Somerset,CEO of the charity Plantlife
3,1,Cathryn Dresser,5,IN,"Apple, Hazelnut and Calvados",Hidden Cupcake Cake,27,"Pease Pottage, West Sussex",Shop assistant
3,1,Manisha Parmar,6,IN,"Vanilla, Peach and Raspberry",White Chocolate Cake with a Red Velvet and White Chocolate Mousse Heart,27,Leicester,Nursery nurse
3,1,Danny Bryden,7,IN,"Plum, Ginger & Orange",UNKNOWN,45,Sheffield,Intensive care consultant
3,1,Ryan Chong,8,IN,Kumquat and Orange Polenta,Hidden Flowerbed Mousse Cake,38,Bristol,Photographer
3,1,Stuart Marston-Smith,9,IN,Tomato and Ginger,Lemon and Pistachio Union Flag Cake,26,"Lichfield, Staffordshire",PE teacher
3,1,Brendan Lynch,10,IN,"Plum, Sour Cherry & Walnut",UNKNOWN,63,Sutton Coldfield,Recruitment consultant
3,1,John Whaite,11,IN,"Toffee Apple, Orange & Cranberry",Hidden Pink Hearts Cake,22,Wigan,Law student
3,1,Natasha Stringer,12,OUT,Pineapple & Passion Fruit,Mother's Day Layered Rose Cake,36,"Tamworth, Staffordshire",Midwife
3,2,John Whaite,1,STAR BAKER,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas","Fig, Walnut and Gruyere Bagels
Blueberry and White Chocolate Bagels",22,Wigan,Law student
3,2,James Morton,2,IN,"Tomato, Garlic, and Parmesan FlatbreadsTattie Scones","Orange, Mint and Chocolate Bagels
'Millers' Sourdough Bagels",21,"Hillswick, Shetland Islands",Medical student
3,2,Danny Bryden,3,IN,Lime Coriander and Coconut TortillasZaatar Naan with Dukkah,UNKNOWN,45,Sheffield,Intensive care consultant
3,2,Brendan Lynch,4,IN,Middle Eastern Taboon BreadIndian Rotis,"Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels",63,Sutton Coldfield,Recruitment consultant
3,2,Ryan Chong,5,IN,Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan,"Cinnamon and Date Bagels
Tarragon and Rosemary Bagels",38,Bristol,Photographer
3,2,Manisha Parmar,6,IN,Indian FlatbreadsItalian Flatbreads,UNKNOWN,27,Leicester,Nursery nurse
3,2,Victoria Chester,7,IN,Coriander and Lemon NaanGarlic and Parsnip Chapatis,"Saffron and Golden Raisin Bagels
Porcini Bagels",50,Somerset,CEO of the charity Plantlife
3,2,Cathryn Dresser,8,IN,"Spiced Mango NaanLime, Coriander and Chilli Tortillas","Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels",27,"Pease Pottage, West Sussex",Shop assistant
3,2,Stuart Marston-Smith,9,IN,Bombay BreadChorizo and Spring Onion Naan,"Cinnamon and Cranberry Bagels
Tomato and Thyme Bagels",26,"Lichfield, Staffordshire",PE teacher
3,2,Sarah-Jane Willis,10,IN,Toasted Coconut and Lime RotisOatcakes,UNKNOWN,28,"Bewbush, West Sussex",Vicar's wife
3,2,Peter Maloney,11,OUT,Fennel and Nigella Seed NaanBannock Bread,"Rosemary and Sea Salt Bagels
Apple and Cinnamon Bagels",43,"Windsor, Berkshire",Sales manager
3,2,Natasha Stringer,NA,NA,NA,NA,36,"Tamworth, Staffordshire",Midwife
3,3,James Morton,1,STAR BAKER,Apple and Lavender Tarte Tatin,"Rose, Lychee and Raspberry Fruit Tart",21,"Hillswick, Shetland Islands",Medical student
3,3,Danny Bryden,2,IN,Savoury Pear and Roquefort Tarte Tatin,"Pineapple, Coconut and Frangipane Tart",45,Sheffield,Intensive care consultant
3,3,Cathryn Dresser,3,IN,"Plum, Cherry and Five Spice Tarte Tatin","Raspberry, Pistachio and Lemon Tart",27,"Pease Pottage, West Sussex",Shop assistant
3,3,Victoria Chester,4,OUT,"Fig, Walnut and Pink Peppercorn Tarte Tatin",Tropical Fruit Tart with Black Pepper Crust,50,Somerset,CEO of the charity Plantlife
3,3,Ryan Chong,5,IN,Spiced Pear Tarte Tatin,UNKNOWN,38,Bristol,Photographer
3,3,John Whaite,6,IN,Apple and Vanilla Tarte Tatin with Walnut Praline,"Berries, Grapes, Pomegranate, and Dragon Fruit Tart",22,Wigan,Law student
3,3,Stuart Marston-Smith,7,IN,Pear and Almond Tarte Tatin,Raspberry Triple Chocolate Layered Tart,26,"Lichfield, Staffordshire",PE teacher
3,3,Sarah-Jane Willis,8,IN,Caramelised Banana Tarte Tatin,French Apple Tart with Blackberry and Cassis Jam,28,"Bewbush, West Sussex",Vicar's wife
3,3,Brendan Lynch,9,IN,Apple and Ginger Tarte Tatin,"Blackberry, Nectarine and Dragon Fruit Tart",63,Sutton Coldfield,Recruitment consultant
3,3,Manisha Parmar,10,IN,"Cinnamon, Apple and Pear Tarte Tatin",Rum and Tropical Fruit Tart,27,Leicester,Nursery nurse
3,3,Natasha Stringer,NA,NA,NA,NA,36,"Tamworth, Staffordshire",Midwife
3,3,Peter Maloney,NA,NA,NA,NA,43,"Windsor, Berkshire",Sales manager
3,4,Brendan Lynch,1,STAR BAKER,Clementine and Chestnut Torte,"Pear, Chocolate and Hazelnut Dacquoise",63,Sutton Coldfield,Recruitment consultant
3,4,Danny Bryden,2,IN,"Blackberry, White Chocolate, Lemon and Elderflower Torte","'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise",45,Sheffield,Intensive care consultant
3,4,Cathryn Dresser,3,IN,"White Chocolate, Macadamia and Coffee Torte","Gooseberry, Almond and Honey Meringue",27,"Pease Pottage, West Sussex",Shop assistant
3,4,Sarah-Jane Willis,4,IN,Chocolate and Almond Truffle Torte,Hazelnut Tiramisu Layered Meringue,28,"Bewbush, West Sussex",Vicar's wife
3,4,James Morton,5,IN,"Hazelnut, Chocolate and Passionfruit Torte","Fig, Chestnut, Cherry and Chocolate Layered Meringue",21,"Hillswick, Shetland Islands",Medical student
3,4,John Whaite,6,IN,'Torte Noir' Black Forest Torte with Boozy Cream,Elderflower and Bramble Berry Pavlova,22,Wigan,Law student
3,4,Ryan Chong,7,IN,Green Tea Opera Torte,"Strawberry, Rose and Pistachio Meringue",38,Bristol,Photographer
3,4,Stuart Marston-Smith,8,OUT,Black Forest Torte,Choca Blocka Mocha Meringue,26,"Lichfield, Staffordshire",PE teacher
3,4,Manisha Parmar,9,IN,"Almond, Chocolate and Cherry Torte",Tiramisu Layered Meringue Dessert,27,Leicester,Nursery nurse
3,4,Natasha Stringer,NA,NA,NA,NA,36,"Tamworth, Staffordshire",Midwife
3,4,Peter Maloney,NA,NA,NA,NA,43,"Windsor, Berkshire",Sales manager
3,4,Victoria Chester,NA,NA,NA,NA,50,Somerset,CEO of the charity Plantlife
3,5,Cathryn Dresser,1,IN,Full English Wellington,Chocolate and Peanut Butter Pumpkin Pie,27,"Pease Pottage, West Sussex",Shop assistant
